pagina;tinta
1;24.18
2;23.08
3;30.48
4;34.86
5;26.96
6;38.69
7;28.93
8;31.82
9;26.78
10;37.15
11;40.82
12;47.61
13;38.22
14;49.18
15;46.8
16;31.56
17;25.29
18;34.09
19;34.6
20;37.59
21;38.93
22;24.32
23;31.1
24;39.24
25;31.51
26;25.79
27;27.9
28;34.87
29;44.96
30;32.16
31;38.36
32;39.92
33;44.25
34;19.34
35;26.09
36;26.43
37;32.89
38;44.47
39;38.43
40;38.12
41;39.88
42;43.75
43;28.6
44;24.07
45;33.57
46;41.96
47;39.38
48;37.35
49;22.16
50;27.38
51;27.94
52;40.18
53;42.79
54;51.47
55;49.75
56;19.3
57;28.81
58;30.29
59;30.5
60;34.54
61;42.56
62;31.5
63;35.76
64;0
65;28.33
66;20.34
67;36.47
68;23.14
69;28.96
70;45.1
71;0
72;22.84
73;21.46
74;31.97
75;35.98
76;39.59
77;46.85
78;48.02
79;45.84
80;32.53
81;26.16
82;0
83;0
84;33.17
85;0
86;25.54
87;24.21
88;23.61
89;26.04
90;34.03
91;40.13
92;27.56
93;28.22
94;41.54
95;37.59
96;39.56
97;49.26
98;24.1
99;25.94
100;28.92
101;44.6
102;50.11
103;27.32
104;25.34
105;27.64
106;39.19
107;36.6
108;24.26
109;33.54
110;36.14
111;42.76
112;59.89
113;49.74
114;24.54
115;28.65
116;27.83
117;33.05
118;38.55
119;44.5
120;35.24
121;22.07
122;36.78
123;41.7
124;55.75
125;26.74
126;34.54
127;47.46
128;31.38
129;27.29
130;38.13
131;0
132;0
133;0
134;0
135;46.53
136;38.09
137;0
138;40.32
139;45.85
140;35.7
141;0
142;0
143;27.25
144;0
145;0
146;34.72
147;0
148;0
149;0
150;0
151;0
152;29.21
153;0
154;0
155;0
156;42.73
157;31.18
158;31.53
159;31.29
160;38.3
161;35.86
162;0
163;0
164;0
165;0
166;0
167;0
168;0
169;0
170;31.67
171;35.03
172;27.54
173;23.32
174;27.2
175;29.46
176;42.35
177;24.39
178;31.5
179;40.97
180;48.38
181;48.85
182;38.4
183;0
184;0
185;0
186;0
187;0
188;0
189;0
190;0
191;0
192;28.48
193;39.22
194;42.41
195;0
196;0
197;33.83
198;32.07
199;0
200;0
201;0
202;35.73
203;0
204;28.94
205;46.07
206;0
207;0
208;24.96
209;30.16
210;0
211;39.9
212;35.91
213;34
214;38.61
215;30.76
216;29.16
217;33.89
218;21.39
219;26.01
220;30.38
221;44.63
222;31.09
223;0
224;0
225;34.36
226;46.55
227;49.24
228;54.37
229;40.4
230;46.35
231;50.74
232;35.56
233;46.8
234;50.22
235;58.69
236;35.75
237;42
238;53.25
239;0
240;38.07
241;44.18
242;52.12
243;0
244;51.25
245;50.68
246;0
247;0
248;25.74
249;43.13
250;0
251;0
252;0
253;28.38
254;42.59
255;0
256;0
257;0
258;25.38
259;35.86
260;0
261;0
262;0
263;25.17
264;38.28
265;0
266;22.48
267;30.3
268;30.48
269;45.23
270;24.52
271;48
272;0
273;36.37
274;44.89
275;42.64
276;0
277;0
278;0
279;0
280;0
281;0
282;0
283;0
284;0
285;0
286;0
287;0
288;0
